                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 0.3382,                0.47994,                 0.9332,                0.99632,                      1,                  0.995,                0.99136,                0.17731,                0.22131,                0.64683,              0.0005446,              0.0005446,              0.0005446
                     48,                 0.3168,                0.44797,                0.91363,                0.98872,                 0.9899,                0.98975,                0.98428,                0.16715,                0.24612,                 0.6441,              0.0005347,              0.0005347,              0.0005347
                     49,                0.32432,                0.45723,                0.92233,                0.99527,                 0.9929,                  0.995,                0.98763,                0.17202,                0.22552,                0.64117,              0.0005248,              0.0005248,              0.0005248
                     50,                0.31335,                 0.4261,                0.91691,                0.99528,                      1,                  0.995,                0.98765,                 0.1859,                 0.2495,                0.64438,              0.0005149,              0.0005149,              0.0005149
                     51,                0.32106,                0.42618,                0.92742,                0.99561,                      1,                  0.995,                0.98997,                0.16191,                0.20049,                0.63277,               0.000505,               0.000505,               0.000505
                     52,                0.34213,                0.44474,                0.93205,                0.99486,                      1,                  0.995,                0.98982,                0.18725,                0.20905,                0.63858,              0.0004951,              0.0004951,              0.0004951
                     53,                0.33446,                0.41862,                0.91404,                0.99618,                      1,                  0.995,                0.99007,                 0.1924,                 0.2075,                0.64459,              0.0004852,              0.0004852,              0.0004852
                     54,                0.31727,                0.41546,                0.92569,                0.99478,                      1,                  0.995,                0.99315,                0.13925,                0.17943,                0.62906,              0.0004753,              0.0004753,              0.0004753
                     55,                0.30931,                0.41327,                 0.9099,                0.99629,                      1,                  0.995,                0.99372,                0.15116,                0.18267,                0.63005,              0.0004654,              0.0004654,              0.0004654
                     56,                0.31379,                0.38985,                0.91462,                0.99618,                      1,                  0.995,                0.99282,                0.16658,                0.18397,                 0.6338,              0.0004555,              0.0004555,              0.0004555
                     57,                0.30326,                0.40664,                0.91017,                0.99254,                      1,                  0.995,                0.98969,                0.16417,                  0.185,                0.63236,              0.0004456,              0.0004456,              0.0004456
                     58,                0.33411,                0.41034,                0.92835,                0.99585,                      1,                  0.995,                 0.9918,                0.16887,                0.18121,                0.62867,              0.0004357,              0.0004357,              0.0004357
                     59,                0.32499,                0.42623,                0.92395,                0.97815,                0.96334,                0.98247,                0.96148,                0.18931,                0.25453,                 0.6668,              0.0004258,              0.0004258,              0.0004258
                     60,                0.31811,                0.39836,                0.92483,                0.99373,                      1,                  0.995,                0.98361,                0.16157,                0.18591,                0.63546,              0.0004159,              0.0004159,              0.0004159
                     61,                0.30519,                0.38058,                0.91597,                0.99638,                      1,                  0.995,                0.99417,                0.15066,                0.16262,                0.63195,               0.000406,               0.000406,               0.000406
                     62,                0.30206,                0.37696,                0.91075,                0.99524,                      1,                  0.995,                 0.9936,                0.15674,                0.17219,                0.63309,              0.0003961,              0.0003961,              0.0003961
                     63,                 0.3305,                0.39099,                0.93169,                 0.9952,                      1,                  0.995,                0.99382,                0.14142,                0.16871,                0.63138,              0.0003862,              0.0003862,              0.0003862
